V1	V(n001)	V(n002)	I(R1)
1.150000000000000e+00	1.150000e+00	3.794942e-01	3.794942e-02
1.160000000000000e+00	1.160000e+00	3.880056e-01	3.880056e-02
1.170000000000000e+00	1.170000e+00	3.965357e-01	3.965357e-02
1.180000000000000e+00	1.180000e+00	4.050837e-01	4.050837e-02
1.190000000000000e+00	1.190000e+00	4.136490e-01	4.136490e-02
1.200000000000000e+00	1.200000e+00	4.222310e-01	4.222310e-02
1.210000000000000e+00	1.210000e+00	4.308291e-01	4.308292e-02
1.220000000000000e+00	1.220000e+00	4.394428e-01	4.394428e-02
1.230000000000000e+00	1.230000e+00	4.480715e-01	4.480715e-02
1.240000000000000e+00	1.240000e+00	4.567148e-01	4.567148e-02
1.250000000000000e+00	1.250000e+00	4.653721e-01	4.653721e-02
1.260000000000000e+00	1.260000e+00	4.740430e-01	4.740430e-02
1.270000000000000e+00	1.270000e+00	4.827271e-01	4.827271e-02
1.280000000000000e+00	1.280000e+00	4.914240e-01	4.914240e-02
1.290000000000000e+00	1.290000e+00	5.001333e-01	5.001333e-02
1.300000000000000e+00	1.300000e+00	5.088545e-01	5.088545e-02
1.310000000000000e+00	1.310000e+00	5.175874e-01	5.175874e-02
1.320000000000000e+00	1.320000e+00	5.263315e-01	5.263316e-02
1.330000000000000e+00	1.330000e+00	5.350867e-01	5.350867e-02
1.340000000000000e+00	1.340000e+00	5.438524e-01	5.438524e-02
1.350000000000000e+00	1.350000e+00	5.526286e-01	5.526286e-02
1.360000000000000e+00	1.360000e+00	5.614147e-01	5.614147e-02
1.370000000000000e+00	1.370000e+00	5.702106e-01	5.702106e-02
1.380000000000000e+00	1.380000e+00	5.790160e-01	5.790161e-02
1.390000000000000e+00	1.390000e+00	5.878307e-01	5.878307e-02
1.400000000000000e+00	1.400000e+00	5.966544e-01	5.966544e-02
1.410000000000000e+00	1.410000e+00	6.054868e-01	6.054868e-02
1.420000000000000e+00	1.420000e+00	6.143277e-01	6.143278e-02
1.430000000000000e+00	1.430000e+00	6.231770e-01	6.231770e-02
1.440000000000000e+00	1.440000e+00	6.320344e-01	6.320344e-02
1.450000000000000e+00	1.450000e+00	6.408996e-01	6.408996e-02
1.460000000000000e+00	1.460000e+00	6.497726e-01	6.497726e-02
1.470000000000000e+00	1.470000e+00	6.586530e-01	6.586530e-02
1.480000000000000e+00	1.480000e+00	6.675408e-01	6.675408e-02
1.490000000000000e+00	1.490000e+00	6.764357e-01	6.764358e-02
1.500000000000000e+00	1.500000e+00	6.853377e-01	6.853376e-02
1.510000000000000e+00	1.510000e+00	6.942464e-01	6.942464e-02
1.520000000000000e+00	1.520000e+00	7.031618e-01	7.031617e-02
1.530000000000000e+00	1.530000e+00	7.120836e-01	7.120837e-02
1.540000000000000e+00	1.540000e+00	7.210119e-01	7.210118e-02
1.550000000000000e+00	1.550000e+00	7.299463e-01	7.299463e-02
1.560000000000000e+00	1.560000e+00	7.388868e-01	7.388868e-02
1.570000000000000e+00	1.570000e+00	7.478333e-01	7.478333e-02
1.580000000000000e+00	1.580000e+00	7.567856e-01	7.567856e-02
1.590000000000000e+00	1.590000e+00	7.657435e-01	7.657435e-02
1.600000000000000e+00	1.600000e+00	7.747070e-01	7.747070e-02
1.610000000000000e+00	1.610000e+00	7.836760e-01	7.836760e-02
1.620000000000000e+00	1.620000e+00	7.926502e-01	7.926502e-02
1.630000000000000e+00	1.630000e+00	8.016297e-01	8.016297e-02
1.640000000000000e+00	1.640000e+00	8.106143e-01	8.106144e-02
1.650000000000000e+00	1.650000e+00	8.196040e-01	8.196039e-02
1.660000000000000e+00	1.660000e+00	8.285985e-01	8.285984e-02
1.670000000000000e+00	1.670000e+00	8.375978e-01	8.375978e-02
1.680000000000000e+00	1.680000e+00	8.466018e-01	8.466019e-02
1.690000000000000e+00	1.690000e+00	8.556105e-01	8.556105e-02
1.700000000000000e+00	1.700000e+00	8.646237e-01	8.646237e-02
1.710000000000000e+00	1.710000e+00	8.736413e-01	8.736413e-02
1.720000000000000e+00	1.720000e+00	8.826633e-01	8.826633e-02
1.730000000000000e+00	1.730000e+00	8.916895e-01	8.916896e-02
1.740000000000000e+00	1.740000e+00	9.007200e-01	9.007200e-02
1.750000000000000e+00	1.750000e+00	9.097546e-01	9.097546e-02
1.760000000000000e+00	1.760000e+00	9.187932e-01	9.187932e-02
1.770000000000000e+00	1.770000e+00	9.278358e-01	9.278358e-02
1.780000000000000e+00	1.780000e+00	9.368823e-01	9.368823e-02
1.790000000000000e+00	1.790000e+00	9.459325e-01	9.459326e-02
1.800000000000000e+00	1.800000e+00	9.549866e-01	9.549866e-02
1.810000000000000e+00	1.810000e+00	9.640443e-01	9.640443e-02
1.820000000000000e+00	1.820000e+00	9.731057e-01	9.731057e-02
1.830000000000000e+00	1.830000e+00	9.821706e-01	9.821706e-02
1.840000000000000e+00	1.840000e+00	9.912391e-01	9.912391e-02
1.850000000000000e+00	1.850000e+00	1.000311e+00	1.000311e-01
