V1	V(n001)	I(D2)
3.060000000000000e+00	3.060000e+00	3.703296e+00
3.070000000000000e+00	3.070000e+00	3.720531e+00
3.080000000000000e+00	3.080000e+00	3.737768e+00
3.090000000000000e+00	3.090000e+00	3.755007e+00
3.100000000000000e+00	3.100000e+00	3.772247e+00
3.110000000000000e+00	3.110000e+00	3.789489e+00
3.120000000000000e+00	3.120000e+00	3.806732e+00
3.130000000000000e+00	3.130000e+00	3.823977e+00
3.140000000000000e+00	3.140000e+00	3.841224e+00
3.150000000000000e+00	3.150000e+00	3.858472e+00
3.160000000000000e+00	3.160000e+00	3.875722e+00
3.170000000000000e+00	3.170000e+00	3.892973e+00
3.180000000000000e+00	3.180000e+00	3.910226e+00
3.190000000000000e+00	3.190000e+00	3.927480e+00
3.200000000000000e+00	3.200000e+00	3.944736e+00
3.210000000000000e+00	3.210000e+00	3.961993e+00
3.220000000000000e+00	3.220000e+00	3.979252e+00
3.230000000000000e+00	3.230000e+00	3.996513e+00
3.240000000000000e+00	3.240000e+00	4.013774e+00
3.250000000000000e+00	3.250000e+00	4.031038e+00
3.260000000000000e+00	3.260000e+00	4.048302e+00
3.270000000000000e+00	3.270000e+00	4.065568e+00
3.280000000000000e+00	3.280000e+00	4.082836e+00
3.290000000000000e+00	3.290000e+00	4.100105e+00
3.300000000000000e+00	3.300000e+00	4.117375e+00
3.310000000000000e+00	3.310000e+00	4.134647e+00
3.320000000000000e+00	3.320000e+00	4.151920e+00
3.330000000000000e+00	3.330000e+00	4.169194e+00
3.340000000000000e+00	3.340000e+00	4.186470e+00
3.350000000000000e+00	3.350000e+00	4.203747e+00
3.360000000000000e+00	3.360000e+00	4.221025e+00
3.370000000000000e+00	3.370000e+00	4.238305e+00
3.380000000000000e+00	3.380000e+00	4.255586e+00
3.390000000000000e+00	3.390000e+00	4.272868e+00
3.400000000000000e+00	3.400000e+00	4.290152e+00
3.410000000000000e+00	3.410000e+00	4.307437e+00
3.420000000000000e+00	3.420000e+00	4.324723e+00
3.430000000000000e+00	3.430000e+00	4.342010e+00
3.440000000000000e+00	3.440000e+00	4.359299e+00
3.450000000000000e+00	3.450000e+00	4.376589e+00
3.460000000000000e+00	3.460000e+00	4.393880e+00
3.470000000000000e+00	3.470000e+00	4.411172e+00
3.480000000000000e+00	3.480000e+00	4.428465e+00
3.490000000000000e+00	3.490000e+00	4.445760e+00
3.500000000000000e+00	3.500000e+00	4.463056e+00
3.510000000000000e+00	3.510000e+00	4.480353e+00
3.520000000000000e+00	3.520000e+00	4.497651e+00
3.530000000000000e+00	3.530000e+00	4.514951e+00
3.540000000000000e+00	3.540000e+00	4.532251e+00
3.550000000000000e+00	3.550000e+00	4.549553e+00
3.560000000000000e+00	3.560000e+00	4.566855e+00
3.570000000000000e+00	3.570000e+00	4.584159e+00
3.580000000000000e+00	3.580000e+00	4.601465e+00
3.590000000000000e+00	3.590000e+00	4.618771e+00
3.600000000000000e+00	3.600000e+00	4.636078e+00
3.610000000000000e+00	3.610000e+00	4.653386e+00
3.620000000000000e+00	3.620000e+00	4.670696e+00
3.630000000000000e+00	3.630000e+00	4.688006e+00
3.640000000000000e+00	3.640000e+00	4.705318e+00
3.650000000000000e+00	3.650000e+00	4.722631e+00
3.660000000000000e+00	3.660000e+00	4.739944e+00
3.670000000000000e+00	3.670000e+00	4.757259e+00
3.680000000000000e+00	3.680000e+00	4.774575e+00
3.690000000000000e+00	3.690000e+00	4.791892e+00
3.700000000000000e+00	3.700000e+00	4.809209e+00
3.710000000000000e+00	3.710000e+00	4.826528e+00
3.720000000000000e+00	3.720000e+00	4.843848e+00
3.730000000000000e+00	3.730000e+00	4.861169e+00
3.740000000000000e+00	3.740000e+00	4.878490e+00
3.750000000000000e+00	3.750000e+00	4.895813e+00
3.760000000000000e+00	3.760000e+00	4.913137e+00
3.770000000000000e+00	3.770000e+00	4.930462e+00
3.780000000000000e+00	3.780000e+00	4.947788e+00
3.790000000000000e+00	3.790000e+00	4.965115e+00
3.800000000000000e+00	3.800000e+00	4.982442e+00
3.810000000000000e+00	3.810000e+00	4.999771e+00
3.820000000000000e+00	3.820000e+00	5.017100e+00
3.830000000000000e+00	3.830000e+00	5.034431e+00
3.840000000000000e+00	3.840000e+00	5.051763e+00
3.850000000000000e+00	3.850000e+00	5.069095e+00
3.860000000000000e+00	3.860000e+00	5.086428e+00
3.870000000000000e+00	3.870000e+00	5.103762e+00
3.880000000000000e+00	3.880000e+00	5.121098e+00
3.890000000000000e+00	3.890000e+00	5.138433e+00
3.900000000000000e+00	3.900000e+00	5.155770e+00
3.910000000000000e+00	3.910000e+00	5.173108e+00
3.920000000000000e+00	3.920000e+00	5.190447e+00
3.930000000000000e+00	3.930000e+00	5.207787e+00
3.940000000000000e+00	3.940000e+00	5.225127e+00
3.950000000000000e+00	3.950000e+00	5.242468e+00
3.960000000000000e+00	3.960000e+00	5.259810e+00
3.970000000000000e+00	3.970000e+00	5.277153e+00
3.980000000000000e+00	3.980000e+00	5.294497e+00
3.990000000000000e+00	3.990000e+00	5.311842e+00
4.000000000000000e+00	4.000000e+00	5.329187e+00
4.010000000000000e+00	4.010000e+00	5.346534e+00
4.020000000000000e+00	4.020000e+00	5.363881e+00
4.030000000000000e+00	4.030000e+00	5.381229e+00
4.040000000000000e+00	4.040000e+00	5.398578e+00
4.050000000000000e+00	4.050000e+00	5.415927e+00
4.060000000000000e+00	4.060000e+00	5.433278e+00
4.070000000000000e+00	4.070000e+00	5.450629e+00
4.080000000000000e+00	4.080000e+00	5.467981e+00
4.090000000000000e+00	4.090000e+00	5.485334e+00
4.100000000000000e+00	4.100000e+00	5.502688e+00
4.110000000000000e+00	4.110000e+00	5.520042e+00
4.120000000000000e+00	4.120000e+00	5.537397e+00
4.130000000000000e+00	4.130000e+00	5.554753e+00
4.140000000000000e+00	4.140000e+00	5.572110e+00
4.150000000000000e+00	4.150000e+00	5.589468e+00
4.160000000000000e+00	4.160000e+00	5.606826e+00
4.170000000000000e+00	4.170000e+00	5.624185e+00
4.180000000000000e+00	4.180000e+00	5.641545e+00
4.190000000000000e+00	4.190000e+00	5.658905e+00
4.200000000000000e+00	4.200000e+00	5.676266e+00
4.210000000000000e+00	4.210000e+00	5.693628e+00
4.220000000000000e+00	4.220000e+00	5.710991e+00
4.230000000000000e+00	4.230000e+00	5.728354e+00
4.240000000000000e+00	4.240000e+00	5.745718e+00
4.250000000000000e+00	4.250000e+00	5.763083e+00
4.260000000000000e+00	4.260000e+00	5.780449e+00
4.270000000000000e+00	4.270000e+00	5.797815e+00
4.280000000000000e+00	4.280000e+00	5.815183e+00
4.290000000000000e+00	4.290000e+00	5.832550e+00
4.300000000000000e+00	4.300000e+00	5.849918e+00
4.310000000000000e+00	4.310000e+00	5.867288e+00
4.320000000000000e+00	4.320000e+00	5.884657e+00
4.330000000000000e+00	4.330000e+00	5.902028e+00
4.340000000000000e+00	4.340000e+00	5.919399e+00
4.350000000000001e+00	4.350000e+00	5.936771e+00
4.360000000000000e+00	4.360000e+00	5.954144e+00
4.370000000000000e+00	4.370000e+00	5.971517e+00
4.380000000000000e+00	4.380000e+00	5.988891e+00
4.390000000000000e+00	4.390000e+00	6.006265e+00
4.400000000000000e+00	4.400000e+00	6.023640e+00
4.410000000000000e+00	4.410000e+00	6.041016e+00
4.420000000000000e+00	4.420000e+00	6.058393e+00
4.430000000000000e+00	4.430000e+00	6.075769e+00
4.440000000000000e+00	4.440000e+00	6.093147e+00
4.450000000000000e+00	4.450000e+00	6.110526e+00
4.460000000000000e+00	4.460000e+00	6.127905e+00
4.470000000000000e+00	4.470000e+00	6.145285e+00
4.480000000000000e+00	4.480000e+00	6.162665e+00
4.490000000000000e+00	4.490000e+00	6.180046e+00
4.500000000000000e+00	4.500000e+00	6.197427e+00
4.510000000000000e+00	4.510000e+00	6.214809e+00
4.520000000000000e+00	4.520000e+00	6.232193e+00
4.530000000000000e+00	4.530000e+00	6.249576e+00
4.540000000000000e+00	4.540000e+00	6.266960e+00
4.550000000000000e+00	4.550000e+00	6.284345e+00
4.560000000000000e+00	4.560000e+00	6.301730e+00
4.570000000000000e+00	4.570000e+00	6.319116e+00
4.580000000000000e+00	4.580000e+00	6.336502e+00
4.590000000000000e+00	4.590000e+00	6.353889e+00
4.600000000000001e+00	4.600000e+00	6.371276e+00
4.610000000000000e+00	4.610000e+00	6.388665e+00
4.620000000000000e+00	4.620000e+00	6.406054e+00
4.630000000000000e+00	4.630000e+00	6.423443e+00
4.640000000000000e+00	4.640000e+00	6.440833e+00
4.650000000000000e+00	4.650000e+00	6.458223e+00
4.660000000000000e+00	4.660000e+00	6.475615e+00
4.670000000000000e+00	4.670000e+00	6.493006e+00
4.680000000000000e+00	4.680000e+00	6.510398e+00
4.690000000000000e+00	4.690000e+00	6.527791e+00
4.700000000000000e+00	4.700000e+00	6.545185e+00
4.710000000000000e+00	4.710000e+00	6.562578e+00
4.720000000000000e+00	4.720000e+00	6.579973e+00
4.730000000000000e+00	4.730000e+00	6.597368e+00
4.740000000000000e+00	4.740000e+00	6.614763e+00
4.750000000000000e+00	4.750000e+00	6.632159e+00
4.760000000000000e+00	4.760000e+00	6.649556e+00
4.770000000000000e+00	4.770000e+00	6.666953e+00
4.780000000000000e+00	4.780000e+00	6.684351e+00
4.790000000000000e+00	4.790000e+00	6.701749e+00
4.800000000000000e+00	4.800000e+00	6.719148e+00
4.810000000000000e+00	4.810000e+00	6.736547e+00
4.820000000000000e+00	4.820000e+00	6.753947e+00
4.830000000000000e+00	4.830000e+00	6.771348e+00
4.840000000000000e+00	4.840000e+00	6.788748e+00
4.850000000000001e+00	4.850000e+00	6.806150e+00
4.860000000000000e+00	4.860000e+00	6.823552e+00
4.870000000000000e+00	4.870000e+00	6.840954e+00
4.880000000000000e+00	4.880000e+00	6.858357e+00
4.890000000000000e+00	4.890000e+00	6.875761e+00
4.900000000000000e+00	4.900000e+00	6.893165e+00
4.910000000000000e+00	4.910000e+00	6.910569e+00
4.920000000000000e+00	4.920000e+00	6.927974e+00
4.930000000000000e+00	4.930000e+00	6.945379e+00
4.940000000000000e+00	4.940000e+00	6.962785e+00
4.950000000000000e+00	4.950000e+00	6.980192e+00
4.960000000000000e+00	4.960000e+00	6.997599e+00
4.970000000000000e+00	4.970000e+00	7.015006e+00
4.980000000000000e+00	4.980000e+00	7.032414e+00
4.990000000000000e+00	4.990000e+00	7.049822e+00
5.000000000000000e+00	5.000000e+00	7.067231e+00
