V1	V(n001)	I(D2)
-1.060000000000000e+00	-1.060000e+00	-2.521060e-09
-1.070000000000000e+00	-1.070000e+00	-2.521070e-09
-1.080000000000000e+00	-1.080000e+00	-2.521080e-09
-1.090000000000000e+00	-1.090000e+00	-2.521090e-09
-1.100000000000000e+00	-1.100000e+00	-2.521100e-09
-1.110000000000000e+00	-1.110000e+00	-2.521110e-09
-1.120000000000000e+00	-1.120000e+00	-2.521120e-09
-1.130000000000000e+00	-1.130000e+00	-2.521130e-09
-1.140000000000000e+00	-1.140000e+00	-2.521140e-09
-1.150000000000000e+00	-1.150000e+00	-2.521150e-09
-1.160000000000000e+00	-1.160000e+00	-2.521160e-09
-1.170000000000000e+00	-1.170000e+00	-2.521170e-09
-1.180000000000000e+00	-1.180000e+00	-2.521180e-09
-1.190000000000000e+00	-1.190000e+00	-2.521190e-09
-1.200000000000000e+00	-1.200000e+00	-2.521200e-09
-1.210000000000000e+00	-1.210000e+00	-2.521210e-09
-1.220000000000000e+00	-1.220000e+00	-2.521220e-09
-1.230000000000000e+00	-1.230000e+00	-2.521230e-09
-1.240000000000000e+00	-1.240000e+00	-2.521240e-09
-1.250000000000000e+00	-1.250000e+00	-2.521250e-09
-1.260000000000000e+00	-1.260000e+00	-2.521260e-09
-1.270000000000000e+00	-1.270000e+00	-2.521270e-09
-1.280000000000000e+00	-1.280000e+00	-2.521280e-09
-1.290000000000000e+00	-1.290000e+00	-2.521290e-09
-1.300000000000000e+00	-1.300000e+00	-2.521300e-09
-1.310000000000000e+00	-1.310000e+00	-2.521310e-09
-1.320000000000000e+00	-1.320000e+00	-2.521320e-09
-1.330000000000000e+00	-1.330000e+00	-2.521330e-09
-1.340000000000000e+00	-1.340000e+00	-2.521340e-09
-1.350000000000000e+00	-1.350000e+00	-2.521350e-09
-1.360000000000000e+00	-1.360000e+00	-2.521360e-09
-1.370000000000000e+00	-1.370000e+00	-2.521370e-09
-1.380000000000000e+00	-1.380000e+00	-2.521380e-09
-1.390000000000000e+00	-1.390000e+00	-2.521390e-09
-1.400000000000000e+00	-1.400000e+00	-2.521400e-09
-1.410000000000000e+00	-1.410000e+00	-2.521410e-09
-1.420000000000000e+00	-1.420000e+00	-2.521420e-09
-1.430000000000000e+00	-1.430000e+00	-2.521430e-09
-1.440000000000000e+00	-1.440000e+00	-2.521440e-09
-1.450000000000000e+00	-1.450000e+00	-2.521450e-09
-1.460000000000000e+00	-1.460000e+00	-2.521460e-09
-1.470000000000000e+00	-1.470000e+00	-2.521470e-09
-1.480000000000000e+00	-1.480000e+00	-2.521480e-09
-1.490000000000000e+00	-1.490000e+00	-2.521490e-09
-1.500000000000000e+00	-1.500000e+00	-2.521500e-09
-1.510000000000000e+00	-1.510000e+00	-2.521510e-09
-1.520000000000000e+00	-1.520000e+00	-2.521520e-09
-1.530000000000000e+00	-1.530000e+00	-2.521530e-09
-1.540000000000000e+00	-1.540000e+00	-2.521540e-09
-1.550000000000000e+00	-1.550000e+00	-2.521550e-09
-1.560000000000000e+00	-1.560000e+00	-2.521560e-09
-1.570000000000000e+00	-1.570000e+00	-2.521570e-09
-1.580000000000000e+00	-1.580000e+00	-2.521580e-09
-1.590000000000000e+00	-1.590000e+00	-2.521590e-09
-1.600000000000000e+00	-1.600000e+00	-2.521600e-09
-1.610000000000000e+00	-1.610000e+00	-2.521610e-09
-1.620000000000000e+00	-1.620000e+00	-2.521620e-09
-1.630000000000000e+00	-1.630000e+00	-2.521630e-09
-1.640000000000000e+00	-1.640000e+00	-2.521640e-09
-1.650000000000000e+00	-1.650000e+00	-2.521650e-09
-1.660000000000000e+00	-1.660000e+00	-2.521660e-09
-1.670000000000000e+00	-1.670000e+00	-2.521670e-09
-1.680000000000000e+00	-1.680000e+00	-2.521680e-09
-1.690000000000000e+00	-1.690000e+00	-2.521690e-09
-1.700000000000000e+00	-1.700000e+00	-2.521700e-09
-1.710000000000000e+00	-1.710000e+00	-2.521710e-09
-1.720000000000000e+00	-1.720000e+00	-2.521720e-09
-1.730000000000000e+00	-1.730000e+00	-2.521730e-09
-1.740000000000000e+00	-1.740000e+00	-2.521740e-09
-1.750000000000000e+00	-1.750000e+00	-2.521750e-09
-1.760000000000000e+00	-1.760000e+00	-2.521760e-09
-1.770000000000000e+00	-1.770000e+00	-2.521770e-09
-1.780000000000000e+00	-1.780000e+00	-2.521780e-09
-1.790000000000000e+00	-1.790000e+00	-2.521790e-09
-1.800000000000000e+00	-1.800000e+00	-2.521800e-09
-1.810000000000000e+00	-1.810000e+00	-2.521810e-09
-1.820000000000000e+00	-1.820000e+00	-2.521820e-09
-1.830000000000000e+00	-1.830000e+00	-2.521830e-09
-1.840000000000000e+00	-1.840000e+00	-2.521840e-09
-1.850000000000000e+00	-1.850000e+00	-2.521850e-09
-1.860000000000000e+00	-1.860000e+00	-2.521860e-09
-1.870000000000000e+00	-1.870000e+00	-2.521870e-09
-1.880000000000000e+00	-1.880000e+00	-2.521880e-09
-1.890000000000000e+00	-1.890000e+00	-2.521890e-09
-1.900000000000000e+00	-1.900000e+00	-2.521900e-09
-1.910000000000000e+00	-1.910000e+00	-2.521910e-09
-1.920000000000000e+00	-1.920000e+00	-2.521920e-09
-1.930000000000000e+00	-1.930000e+00	-2.521930e-09
-1.940000000000000e+00	-1.940000e+00	-2.521940e-09
-1.950000000000000e+00	-1.950000e+00	-2.521950e-09
-1.960000000000000e+00	-1.960000e+00	-2.521960e-09
-1.970000000000000e+00	-1.970000e+00	-2.521970e-09
-1.980000000000000e+00	-1.980000e+00	-2.521980e-09
-1.990000000000000e+00	-1.990000e+00	-2.521990e-09
-2.000000000000000e+00	-2.000000e+00	-2.522000e-09
-2.010000000000000e+00	-2.010000e+00	-2.522010e-09
-2.020000000000000e+00	-2.020000e+00	-2.522020e-09
-2.030000000000000e+00	-2.030000e+00	-2.522030e-09
-2.040000000000000e+00	-2.040000e+00	-2.522041e-09
-2.050000000000000e+00	-2.050000e+00	-2.522050e-09
-2.060000000000000e+00	-2.060000e+00	-2.522060e-09
-2.070000000000000e+00	-2.070000e+00	-2.522070e-09
-2.080000000000000e+00	-2.080000e+00	-2.522080e-09
-2.090000000000000e+00	-2.090000e+00	-2.522091e-09
-2.100000000000000e+00	-2.100000e+00	-2.522100e-09
-2.110000000000000e+00	-2.110000e+00	-2.522110e-09
-2.120000000000000e+00	-2.120000e+00	-2.522120e-09
-2.130000000000000e+00	-2.130000e+00	-2.522130e-09
-2.140000000000000e+00	-2.140000e+00	-2.522140e-09
-2.150000000000000e+00	-2.150000e+00	-2.522150e-09
-2.160000000000000e+00	-2.160000e+00	-2.522160e-09
-2.170000000000000e+00	-2.170000e+00	-2.522170e-09
-2.180000000000000e+00	-2.180000e+00	-2.522180e-09
-2.190000000000000e+00	-2.190000e+00	-2.522191e-09
-2.200000000000000e+00	-2.200000e+00	-2.522200e-09
-2.210000000000000e+00	-2.210000e+00	-2.522210e-09
-2.220000000000000e+00	-2.220000e+00	-2.522220e-09
-2.230000000000000e+00	-2.230000e+00	-2.522230e-09
-2.240000000000000e+00	-2.240000e+00	-2.522241e-09
-2.250000000000000e+00	-2.250000e+00	-2.522250e-09
-2.260000000000000e+00	-2.260000e+00	-2.522260e-09
-2.270000000000000e+00	-2.270000e+00	-2.522270e-09
-2.280000000000000e+00	-2.280000e+00	-2.522281e-09
-2.290000000000000e+00	-2.290000e+00	-2.522290e-09
-2.300000000000000e+00	-2.300000e+00	-2.522300e-09
-2.310000000000000e+00	-2.310000e+00	-2.522310e-09
-2.320000000000000e+00	-2.320000e+00	-2.522320e-09
-2.330000000000000e+00	-2.330000e+00	-2.522331e-09
-2.340000000000000e+00	-2.340000e+00	-2.522340e-09
-2.350000000000000e+00	-2.350000e+00	-2.522350e-09
-2.360000000000000e+00	-2.360000e+00	-2.522360e-09
-2.370000000000000e+00	-2.370000e+00	-2.522370e-09
-2.380000000000000e+00	-2.380000e+00	-2.522381e-09
-2.390000000000000e+00	-2.390000e+00	-2.522390e-09
-2.400000000000000e+00	-2.400000e+00	-2.522400e-09
-2.410000000000000e+00	-2.410000e+00	-2.522410e-09
-2.420000000000000e+00	-2.420000e+00	-2.522420e-09
-2.430000000000000e+00	-2.430000e+00	-2.522431e-09
-2.440000000000000e+00	-2.440000e+00	-2.522440e-09
-2.450000000000000e+00	-2.450000e+00	-2.522450e-09
-2.460000000000000e+00	-2.460000e+00	-2.522460e-09
-2.470000000000000e+00	-2.470000e+00	-2.522470e-09
-2.480000000000000e+00	-2.480000e+00	-2.522481e-09
-2.490000000000000e+00	-2.490000e+00	-2.522490e-09
-2.500000000000000e+00	-2.500000e+00	-2.522500e-09
-2.510000000000000e+00	-2.510000e+00	-2.522510e-09
-2.520000000000000e+00	-2.520000e+00	-2.522521e-09
-2.530000000000000e+00	-2.530000e+00	-2.522531e-09
-2.540000000000000e+00	-2.540000e+00	-2.522540e-09
-2.550000000000000e+00	-2.550000e+00	-2.522550e-09
-2.560000000000000e+00	-2.560000e+00	-2.522560e-09
-2.570000000000000e+00	-2.570000e+00	-2.522571e-09
-2.580000000000000e+00	-2.580000e+00	-2.522580e-09
-2.590000000000000e+00	-2.590000e+00	-2.522590e-09
-2.600000000000000e+00	-2.600000e+00	-2.522600e-09
-2.610000000000000e+00	-2.610000e+00	-2.522610e-09
-2.620000000000000e+00	-2.620000e+00	-2.522621e-09
-2.630000000000000e+00	-2.630000e+00	-2.522630e-09
-2.640000000000000e+00	-2.640000e+00	-2.522640e-09
-2.650000000000000e+00	-2.650000e+00	-2.522650e-09
-2.660000000000000e+00	-2.660000e+00	-2.522661e-09
-2.670000000000000e+00	-2.670000e+00	-2.522671e-09
-2.680000000000000e+00	-2.680000e+00	-2.522680e-09
-2.690000000000000e+00	-2.690000e+00	-2.522690e-09
-2.700000000000000e+00	-2.700000e+00	-2.522700e-09
-2.710000000000000e+00	-2.710000e+00	-2.522710e-09
-2.720000000000000e+00	-2.720000e+00	-2.522721e-09
-2.730000000000000e+00	-2.730000e+00	-2.522730e-09
-2.740000000000000e+00	-2.740000e+00	-2.522740e-09
-2.750000000000000e+00	-2.750000e+00	-2.522750e-09
-2.760000000000000e+00	-2.760000e+00	-2.522761e-09
-2.770000000000000e+00	-2.770000e+00	-2.522771e-09
-2.780000000000000e+00	-2.780000e+00	-2.522780e-09
-2.790000000000000e+00	-2.790000e+00	-2.522790e-09
-2.800000000000000e+00	-2.800000e+00	-2.522800e-09
-2.810000000000000e+00	-2.810000e+00	-2.522811e-09
-2.820000000000000e+00	-2.820000e+00	-2.522820e-09
-2.830000000000000e+00	-2.830000e+00	-2.522830e-09
-2.840000000000000e+00	-2.840000e+00	-2.522840e-09
-2.850000000000000e+00	-2.850000e+00	-2.522850e-09
-2.860000000000000e+00	-2.860000e+00	-2.522861e-09
-2.870000000000000e+00	-2.870000e+00	-2.522870e-09
-2.880000000000000e+00	-2.880000e+00	-2.522880e-09
-2.890000000000000e+00	-2.890000e+00	-2.522890e-09
-2.900000000000000e+00	-2.900000e+00	-2.522901e-09
-2.910000000000000e+00	-2.910000e+00	-2.522911e-09
-2.920000000000000e+00	-2.920000e+00	-2.522920e-09
-2.930000000000000e+00	-2.930000e+00	-2.522930e-09
-2.940000000000000e+00	-2.940000e+00	-2.522940e-09
-2.950000000000000e+00	-2.950000e+00	-2.522951e-09
-2.960000000000000e+00	-2.960000e+00	-2.522961e-09
-2.970000000000000e+00	-2.970000e+00	-2.522970e-09
-2.980000000000000e+00	-2.980000e+00	-2.522980e-09
-2.990000000000000e+00	-2.990000e+00	-2.522990e-09
-3.000000000000000e+00	-3.000000e+00	-2.523001e-09
-3.010000000000000e+00	-3.010000e+00	-2.523011e-09
-3.020000000000000e+00	-3.020000e+00	-2.523020e-09
-3.030000000000000e+00	-3.030000e+00	-2.523030e-09
-3.040000000000000e+00	-3.040000e+00	-2.523040e-09
-3.050000000000000e+00	-3.050000e+00	-2.523051e-09
-3.060000000000000e+00	-3.060000e+00	-2.523061e-09
-3.070000000000000e+00	-3.070000e+00	-2.523070e-09
-3.080000000000000e+00	-3.080000e+00	-2.523080e-09
-3.090000000000000e+00	-3.090000e+00	-2.523090e-09
-3.100000000000000e+00	-3.100000e+00	-2.523101e-09
-3.110000000000000e+00	-3.110000e+00	-2.523110e-09
-3.120000000000000e+00	-3.120000e+00	-2.523120e-09
-3.130000000000000e+00	-3.130000e+00	-2.523130e-09
-3.140000000000000e+00	-3.140000e+00	-2.523141e-09
-3.150000000000000e+00	-3.150000e+00	-2.523151e-09
-3.160000000000000e+00	-3.160000e+00	-2.523160e-09
-3.170000000000000e+00	-3.170000e+00	-2.523170e-09
-3.180000000000000e+00	-3.180000e+00	-2.523180e-09
-3.190000000000000e+00	-3.190000e+00	-2.523191e-09
-3.200000000000000e+00	-3.200000e+00	-2.523201e-09
-3.210000000000000e+00	-3.210000e+00	-2.523210e-09
-3.220000000000000e+00	-3.220000e+00	-2.523220e-09
-3.230000000000000e+00	-3.230000e+00	-2.523231e-09
-3.240000000000000e+00	-3.240000e+00	-2.523241e-09
-3.250000000000000e+00	-3.250000e+00	-2.523251e-09
-3.260000000000000e+00	-3.260000e+00	-2.523260e-09
-3.270000000000000e+00	-3.270000e+00	-2.523270e-09
-3.280000000000000e+00	-3.280000e+00	-2.523280e-09
-3.290000000000000e+00	-3.290000e+00	-2.523291e-09
-3.300000000000000e+00	-3.300000e+00	-2.523301e-09
-3.310000000000000e+00	-3.310000e+00	-2.523310e-09
-3.320000000000000e+00	-3.320000e+00	-2.523320e-09
-3.330000000000000e+00	-3.330000e+00	-2.523330e-09
-3.340000000000000e+00	-3.340000e+00	-2.523341e-09
-3.350000000000000e+00	-3.350000e+00	-2.523350e-09
-3.360000000000000e+00	-3.360000e+00	-2.523360e-09
-3.370000000000000e+00	-3.370000e+00	-2.523370e-09
-3.380000000000000e+00	-3.380000e+00	-2.523381e-09
-3.390000000000000e+00	-3.390000e+00	-2.523391e-09
-3.400000000000000e+00	-3.400000e+00	-2.523400e-09
-3.410000000000000e+00	-3.410000e+00	-2.523410e-09
-3.420000000000000e+00	-3.420000e+00	-2.523420e-09
-3.430000000000000e+00	-3.430000e+00	-2.523431e-09
-3.440000000000000e+00	-3.440000e+00	-2.523441e-09
-3.450000000000000e+00	-3.450000e+00	-2.523450e-09
-3.460000000000000e+00	-3.460000e+00	-2.523460e-09
-3.470000000000000e+00	-3.470000e+00	-2.523471e-09
-3.480000000000000e+00	-3.480000e+00	-2.523481e-09
-3.490000000000000e+00	-3.490000e+00	-2.523491e-09
-3.500000000000000e+00	-3.500000e+00	-2.523500e-09
-3.510000000000000e+00	-3.510000e+00	-2.523510e-09
-3.520000000000000e+00	-3.520000e+00	-2.523521e-09
-3.530000000000000e+00	-3.530000e+00	-2.523531e-09
-3.540000000000000e+00	-3.540000e+00	-2.523541e-09
-3.550000000000000e+00	-3.550000e+00	-2.523550e-09
-3.560000000000000e+00	-3.560000e+00	-2.523560e-09
-3.570000000000000e+00	-3.570000e+00	-2.523570e-09
-3.580000000000000e+00	-3.580000e+00	-2.523581e-09
-3.590000000000000e+00	-3.590000e+00	-2.523591e-09
-3.600000000000000e+00	-3.600000e+00	-2.523600e-09
-3.610000000000000e+00	-3.610000e+00	-2.523610e-09
-3.620000000000000e+00	-3.620000e+00	-2.523621e-09
-3.630000000000000e+00	-3.630000e+00	-2.523631e-09
-3.640000000000000e+00	-3.640000e+00	-2.523640e-09
-3.650000000000000e+00	-3.650000e+00	-2.523650e-09
-3.660000000000000e+00	-3.660000e+00	-2.523660e-09
-3.670000000000000e+00	-3.670000e+00	-2.523671e-09
-3.680000000000000e+00	-3.680000e+00	-2.523681e-09
-3.690000000000000e+00	-3.690000e+00	-2.523690e-09
-3.700000000000000e+00	-3.700000e+00	-2.523700e-09
-3.710000000000000e+00	-3.710000e+00	-2.523711e-09
-3.720000000000000e+00	-3.720000e+00	-2.523721e-09
-3.730000000000000e+00	-3.730000e+00	-2.523731e-09
-3.740000000000000e+00	-3.740000e+00	-2.523740e-09
-3.750000000000000e+00	-3.750000e+00	-2.523750e-09
-3.760000000000000e+00	-3.760000e+00	-2.523761e-09
-3.770000000000000e+00	-3.770000e+00	-2.523771e-09
-3.780000000000000e+00	-3.780000e+00	-2.523781e-09
-3.790000000000000e+00	-3.790000e+00	-2.523790e-09
-3.800000000000000e+00	-3.800000e+00	-2.523801e-09
-3.810000000000000e+00	-3.810000e+00	-2.523810e-09
-3.820000000000000e+00	-3.820000e+00	-2.523821e-09
-3.830000000000000e+00	-3.830000e+00	-2.523831e-09
-3.840000000000000e+00	-3.840000e+00	-2.523840e-09
-3.850000000000000e+00	-3.850000e+00	-2.523850e-09
-3.860000000000000e+00	-3.860000e+00	-2.523861e-09
-3.870000000000000e+00	-3.870000e+00	-2.523871e-09
-3.880000000000000e+00	-3.880000e+00	-2.523880e-09
-3.890000000000000e+00	-3.890000e+00	-2.523890e-09
-3.900000000000000e+00	-3.900000e+00	-2.523900e-09
-3.910000000000000e+00	-3.910000e+00	-2.523911e-09
-3.920000000000000e+00	-3.920000e+00	-2.523921e-09
-3.930000000000000e+00	-3.930000e+00	-2.523930e-09
-3.940000000000000e+00	-3.940000e+00	-2.523940e-09
-3.950000000000000e+00	-3.950000e+00	-2.523951e-09
-3.960000000000000e+00	-3.960000e+00	-2.523961e-09
-3.970000000000000e+00	-3.970000e+00	-2.523971e-09
-3.980000000000000e+00	-3.980000e+00	-2.523980e-09
-3.990000000000000e+00	-3.990000e+00	-2.523990e-09
-4.000000000000000e+00	-4.000000e+00	-2.524001e-09
-4.010000000000000e+00	-4.010000e+00	-2.524011e-09
-4.020000000000000e+00	-4.020000e+00	-2.524020e-09
-4.030000000000000e+00	-4.030000e+00	-2.524031e-09
-4.040000000000000e+00	-4.040000e+00	-2.524041e-09
-4.050000000000000e+00	-4.050000e+00	-2.524050e-09
-4.060000000000000e+00	-4.060000e+00	-2.524061e-09
-4.070000000000000e+00	-4.070000e+00	-2.524070e-09
-4.080000000000000e+00	-4.080000e+00	-2.524081e-09
-4.090000000000000e+00	-4.090000e+00	-2.524090e-09
-4.100000000000000e+00	-4.100000e+00	-2.524100e-09
-4.110000000000000e+00	-4.110000e+00	-2.524111e-09
-4.120000000000000e+00	-4.120000e+00	-2.524120e-09
-4.130000000000000e+00	-4.130000e+00	-2.524131e-09
-4.140000000000000e+00	-4.140000e+00	-2.524140e-09
-4.150000000000000e+00	-4.150000e+00	-2.524150e-09
-4.160000000000000e+00	-4.160000e+00	-2.524161e-09
-4.170000000000000e+00	-4.170000e+00	-2.524170e-09
-4.180000000000000e+00	-4.180000e+00	-2.524181e-09
-4.190000000000000e+00	-4.190000e+00	-2.524191e-09
-4.200000000000000e+00	-4.200000e+00	-2.524200e-09
-4.210000000000000e+00	-4.210000e+00	-2.524211e-09
-4.220000000000000e+00	-4.220000e+00	-2.524220e-09
-4.230000000000000e+00	-4.230000e+00	-2.524231e-09
-4.240000000000000e+00	-4.240000e+00	-2.524241e-09
-4.250000000000000e+00	-4.250000e+00	-2.524250e-09
-4.260000000000000e+00	-4.260000e+00	-2.524261e-09
-4.270000000000000e+00	-4.270000e+00	-2.524270e-09
-4.280000000000000e+00	-4.280000e+00	-2.524281e-09
-4.290000000000000e+00	-4.290000e+00	-2.524291e-09
-4.300000000000000e+00	-4.300000e+00	-2.524300e-09
-4.310000000000000e+00	-4.310000e+00	-2.524311e-09
-4.320000000000000e+00	-4.320000e+00	-2.524320e-09
-4.330000000000000e+00	-4.330000e+00	-2.524331e-09
-4.340000000000000e+00	-4.340000e+00	-2.524341e-09
-4.350000000000001e+00	-4.350000e+00	-2.524350e-09
-4.360000000000000e+00	-4.360000e+00	-2.524361e-09
-4.370000000000000e+00	-4.370000e+00	-2.524370e-09
-4.380000000000000e+00	-4.380000e+00	-2.524381e-09
-4.390000000000000e+00	-4.390000e+00	-2.524391e-09
-4.400000000000000e+00	-4.400000e+00	-2.524400e-09
-4.410000000000000e+00	-4.410000e+00	-2.524411e-09
-4.420000000000000e+00	-4.420000e+00	-2.524420e-09
-4.430000000000000e+00	-4.430000e+00	-2.524431e-09
-4.440000000000000e+00	-4.440000e+00	-2.524441e-09
-4.450000000000000e+00	-4.450000e+00	-2.524450e-09
-4.460000000000000e+00	-4.460000e+00	-2.524461e-09
-4.470000000000000e+00	-4.470000e+00	-2.524470e-09
-4.480000000000000e+00	-4.480000e+00	-2.524482e-09
-4.490000000000000e+00	-4.490000e+00	-2.524491e-09
-4.500000000000000e+00	-4.500000e+00	-2.524500e-09
-4.510000000000000e+00	-4.510000e+00	-2.524511e-09
-4.520000000000000e+00	-4.520000e+00	-2.524521e-09
-4.530000000000000e+00	-4.530000e+00	-2.524531e-09
-4.540000000000000e+00	-4.540000e+00	-2.524541e-09
-4.550000000000000e+00	-4.550000e+00	-2.524550e-09
-4.560000000000000e+00	-4.560000e+00	-2.524561e-09
-4.570000000000000e+00	-4.570000e+00	-2.524571e-09
-4.580000000000000e+00	-4.580000e+00	-2.524580e-09
-4.590000000000000e+00	-4.590000e+00	-2.524591e-09
-4.600000000000001e+00	-4.600000e+00	-2.524600e-09
-4.610000000000000e+00	-4.610000e+00	-2.524611e-09
-4.620000000000000e+00	-4.620000e+00	-2.524621e-09
